天道酬勤: 听绿化师傅说的
傅小平: 新叶不脱落，那第二年呢？
华   13511663058: 继续脱落继续修剪呗
暖莺: 这种修剪是枝繁叶茂时的大修剪，来年长成球形后仅需小修剪。专业的亊由术有专攻人士做放心[玫瑰]
静思: 香樟树枝繁叶茂到了冬天还有点绿色，香樟一修剪那我们小区到了冬天看到的都是光秃秃的
暖莺: 来年春天就会开枝散叶哒！
华   13511663058: 掉树叶掉果子也麻烦的
莫小仙💃: 大家放心，剃光了！明年会长得更漂亮
莫小仙💃: 经常修修才会更好
暖莺: 冬天雪压大树枝，也存有安全隐患哪！
涓涓细流: 为啥我们门口不是香樟树
莫小仙💃: 冬天剃了，是养根！之前有园林师傅跟我说的，大树不会死的
   青云: 金坛城里小区里香樟树都是剪修的光秃秃的。我家门口的香樟树麻烦请剪修掉，要不然我每次下来扫院子都要好长时间，前脚扫后脚落。很麻烦，包括栾树也是的。
   青云: [视频]
木有胆（雅乐小筑）: 冯主任，麻烦把树也修剪成这样，拜托[抱拳][抱拳]
木有胆（雅乐小筑）: [图片]
木有胆（雅乐小筑）: [图片]
冯静: 好的
木有胆（雅乐小筑）: 谢谢[抱拳][抱拳]
民宿主（徐哥）: [图片]
民宿主（徐哥）: [图片]
民宿主（徐哥）: 工人要用铁锹拍死我
Elsa: 什么人这么嚣张[捂脸]
冯静: 怎么回事？
冯静: 叫物业一起去
老裴: @14-07-鲁 
Elsa: 这种事，物业是管理主体，业委会是监督，让物业先出面
民宿主（徐哥）: 我和汤管家一起来的，工人说我们多管闲事
Elsa: 通知业主，没必要和工人对峙
民宿主（徐哥）: 口出脏话，句句带ma de bi
民宿主（徐哥）: 动手了
冯静: 可以报警
Elsa: 事态严重了，让物业领导出面或者报警，通知业主出来处理
民宿主（徐哥）: [图片]
Elsa: 不要降低维度去和工人对峙
民宿主（徐哥）: 要改门，我说你们报方案，业委会和物业审核，同意才能施工
Elsa: 让物业先处理，业委会不要太前置，太越俎代庖了，物业反而不愿意做恶人
Elsa: 物业处理不当，业委会在出面
Elsa: 这是物业的正常工作
Elsa: 我的建议，供参考
Elsa: 还有对话主体不是工人，是业主
Elsa: 还有，开发商有很多脑残设计，有些事情不影响大局，建议大家坐下来沟通解决，能人性化处理最好
王立新: 围墙都快要倒了，自己不可以重新改造吗？
王立新: 还有，不知道哪个缺德的人，把我家所有门窗全部打开，家里地板全部泡了雨水
王立新: 这个不知道物业有没有责任？
王立新: 感觉这个小区里面一定安全感都没有
王立新: 业主花钱请物业不知道能帮我们做什么？
王立新: 家里的地砖都鼓起来了
王立新: 这个小区问题太多了，我们业主都是受害者，大家就互相体谅一下吧？只要不影响其他业主，适当的改造就互相支持一下吧？环境不好，只能自己改造了，不要再互相伤害了！
Elsa: 对，不影响大局协商解决
王立新: c1那边都可以把围墙往外拓，我们这边也已经非常守规矩了
Elsa: 但是事前要多沟通
王立新: 沟通是必须的，但要让我们明确沟通渠道，找谁沟通
王立新: 这个小区开发商，为了多建一排房子，已经把道路和院子都压缩了很多，一进小区就感觉是农村安置房
琴: @18-1 业主您好！您名字的牌号标错了，我才是18-1的业主
王立新: 大家购买这个房子，都期盼着有个好的环境，结果像住进了贫民窟，再不让大家稍微改进一下，那就太憋屈了！
王立新: 如果再窝里斗，那就更惨了！
王立新: 我的老号码是18-1，后来改成多少我都不知道，实在不想去看这个房子，看了就揪心
Elsa: 我正好有一个事情也问问大家，我们小区所有户型的二楼三楼露台、北小阳台，已经有很多家出现漏水，25年主体质保到期政府和开发商都不管了，但是后面漏水情况只会越来广、越来越越严重，我们去咨询了规划局、城市管理局，得到的口径是可以在上面搭建防雨装置（有顶，但是不能封闭），让我们先报效果图方案，二个主管部门会办审批，如果审批通过可以搭建。我现在很犹豫要不要推动业委会一起做这件事情，因为工作量很大，从设计方案、到全体业主投票、然后报政府部门讨论、改方案再审批，过程很长很多事情，先泛问问大家有没有意愿做这件事，如果不愿意的声音多，就放弃不折腾，如果多数业主愿意，就推动。
💝谢佩玲: 是不是要统一装，指定商家？
Elsa: 只指定方案，不指定厂家
王立新: 不报也能做
王立新: 报了反而做不好
Elsa: 现在不能
💝谢佩玲: 对的，不封闭是可以做的
王立新: 我隔壁都做了
💝谢佩玲: 但封闭的是违规的
Elsa: 二楼三楼不能
王立新: 他们报哪里了？
王立新: 报了就违规
Elsa: 现在城管不让做
王立新: 做好了就没事
💝谢佩玲: 如果不封闭，渗水问题还是会有的
王立新: 主要是邻居互相举报
王立新: 没有举报就没事
Elsa: 现在口径是要统一方案报批，自己做，城管来拆
王立新: 所以说，大家都是受害者，不要再互相伤害了！
王立新: 做好了铝合金房是不会拆的
王立新: 只要没有砌墙
Elsa: 现在二楼三楼不砌墙也不让搭
王立新: 你们有城管朋友可以咨询一下就知道了
王立新: 封阳台肯定没有问题
Elsa: 去问过了，就是要报批
王立新: 你去问肯定不行
王立新: 自己改造肯定没有问题
Elsa: 你这硬搞的态度肯定也不行
王立新: 他们也是多一事不如少一事，问了他们，他们就要承担责任
王立新: 肯定说不行
王立新: 我们里面封阳台的很多了，你去问问他们，哪家去申报了
